keyword,volume,kd,traffic_potential,competitor_top_position,competitor_domains,parent_topic,intent,source,question_subtype,serp_features,brand_fit,product_fit,serp_intent,dr_top10_median,weak_link_count,bid_verdict,bid_reason,has_aio,aio_completeness_score,aio_click_intent,aio_verdict,aio_reasoning,redteam_verdict,redteam_priority_delta,redteam_critique_summary,priority_score,notes,gap_mode
ai roleplay app,150,59,350000,,,character ai,informational,seed_modifier,,sitelink,9,8,commercial-investigation,59,0,FAIL,dr_gap_too_wide,,,,SKIPPED_BID_FAIL,,,,,,,seed_modifier
nsfw ai app,1200,39,132000,,,undress ai,commercial,seed_modifier,,,9,4,commercial-investigation,39,0,PASS,,false,,,PASS,No AIO present in SERP features.,REVISE_PRIORITY,-1.0,Listicle SERP plus AIO-bait framing means rank without conversion; deprioritize behind chat-intent terms,6.12,"base=7.12 (T=8.05,BF=9,PF=4) boost=0.0 delta=-1.0",seed_modifier
spicy ai,131000,1,131000,10,nastia.ai,,commercial,competitor_gap,,sitelink,9,8,informational,1,2,PASS,,false,,,PASS,No AIO present in SERP features.,DROP,0,Branded query for SpicyChat masquerading as informational; vanity-rank trap,,,missing
ai nsfw generator free,150,42,123000,,,perchance,informational,seed_modifier,,sitelink,8,7,tool-led,42,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Tool-opportunity; free-tier framing,8.66,"base=7.66 (T=7.90,BF=8,PF=7) boost=1.0 delta=+0.0",seed_modifier
free ai art generator nsfw,150,36,116000,,,perchance,informational,seed_modifier,,sitelink,8,7,tool-led,36,1,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Tool-opportunity; route to /generate,8.78,"base=7.78 (T=8.20,BF=8,PF=7) boost=1.0 delta=+0.0",seed_modifier
nsfw ai image generator no login,200,45,115000,,,perchance,informational,seed_modifier,,sitelink,9,7,tool-led,45,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Tool keyword; competitive bar is no-login UX,8.90,"base=7.90 (T=7.75,BF=9,PF=7) boost=1.0 delta=+0.0",seed_modifier
nsfw ai generator no login,150,48,115000,,,perchance,informational,seed_modifier,,sitelink,9,7,tool-led,48,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Variant of no-login tool kw; consolidate,8.84,"base=7.84 (T=7.60,BF=9,PF=7) boost=1.0 delta=+0.0",seed_modifier
nsfw ai generator image,100,47,111000,,,perchance,informational,seed_modifier,,sitelink,9,7,tool-led,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Tool-opportunity for /generate,8.86,"base=7.86 (T=7.65,BF=9,PF=7) boost=1.0 delta=+0.0",seed_modifier
ai nsfw gen,450,47,99000,,,perchance,informational,seed_modifier,,sitelink,7,4,informational,47,0,PASS,,false,,,PASS,No AIO present in SERP features.,DROP,0,"Mismatched product_fit, programmatic-SEO competitors, AIO exposure on definitional framings",6.36,"base=6.36 (T=7.64,BF=7,PF=4) boost=0.0 delta=+0.0",seed_modifier
image generator ai nsfw,200,39,94000,,,perchance,informational,seed_modifier,,sitelink,8,7,tool-led,39,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Tool-opportunity,8.70,"base=7.70 (T=8.00,BF=8,PF=7) boost=1.0 delta=+0.0",seed_modifier
nsfw ai photo maker,100,41,94000,,,perchance,informational,seed_modifier,,,9,9,tool-led,41,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Genuine tool-opportunity; route to /generate,9.56,"base=8.56 (T=7.90,BF=9,PF=9) boost=1.0 delta=+0.0",seed_modifier
nsfw ai pic generator,150,39,94000,,,perchance,informational,seed_modifier,,sitelink,9,7,tool-led,39,0,PASS,,false,,,PASS,No AIO present in SERP features.,KEEP,0,Tool-opportunity; consolidate cluster,9.00,"base=8.00 (T=8.00,BF=9,PF=7) boost=1.0 delta=+0.0",seed_modifier
