keyword,slug,priority_score,volume,kd,traffic_potential,source,gap_mode,serp_intent,bid_verdict,aio_verdict,redteam_verdict,brand_fit,product_fit,competitor_top_position,competitor_domains,parent_topic,intent,redteam_priority_delta,redteam_critique_summary,notes
ai girlfriend generator,,9.46,14800,19,14800,competitor_gap+seed_modifier,missing,tool-led,PASS,PASS,KEEP,9,8,13,ourdream.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.06 (T=7.39,BF=9,PF=8) boost=1.4"
ai girlfriend generators,,9.34,14800,25,14800,competitor_gap+seed_modifier,missing,tool-led,PASS,RISKY,KEEP,9,8,9,ourdream.ai,,commercial,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.94 (T=7.09,BF=9,PF=8) boost=1.4"
nsfw image generator,,9.17,12100,0,12100,competitor_gap,missing,tool-led,PASS,UNKNOWN,DROP,8,7,11,ourdream.ai,,transactional,0,UNKNOWN,"base=7.77 (T=8.17,BF=8,PF=7) boost=1.4"
free ai girlfriend generator,,8.69,2900,24,2900,question_mining+seed_modifier,question_mining,tool-led,PASS,PASS,KEEP,9,8,,,,transactional,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.39 (T=5.73,BF=9,PF=8) boost=1.3"
ai image generator no restrictions,,8.53,18100,39,18100,competitor_gap,missing,tool-led,PASS,UNKNOWN,DROP,8,7,53,nastia.ai,,transactional,0,UNKNOWN,"base=7.13 (T=6.57,BF=8,PF=7) boost=1.4"
image generator ai,,8.41,60500,46,60500,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,8,7,,,,transactional,0,UNKNOWN,"base=7.41 (T=7.26,BF=8,PF=7) boost=1.0"
ai image generator free,,8.34,110000,58,110000,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,8,7,,,,transactional,0,UNKNOWN,"base=7.34 (T=7.10,BF=8,PF=7) boost=1.0"
ai boyfriend generator,,8.09,720,15,720,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,9,8,,,,transactional,0,UNKNOWN,"base=7.09 (T=4.97,BF=9,PF=8) boost=1.0"
ai image generator,,8.08,823000,71,823000,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,8,7,,,,transactional,0,UNKNOWN,"base=7.08 (T=6.45,BF=8,PF=7) boost=1.0"
ai photo generator,,8.06,201000,72,201000,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,8,7,,,,transactional,0,UNKNOWN,"base=7.06 (T=6.40,BF=8,PF=7) boost=1.0"
ai picture generator,,8.06,135000,72,135000,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,8,7,,,,transactional,0,UNKNOWN,"base=7.06 (T=6.40,BF=8,PF=7) boost=1.0"
ai sexting response generator,,7.89,170,0,170,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,9,8,,,,informational,0,UNKNOWN,"base=6.89 (T=4.47,BF=9,PF=8) boost=1.0"
ai sexting generator,,7.67,90,0,90,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,9,8,,,,informational,0,UNKNOWN,"base=6.67 (T=3.92,BF=9,PF=8) boost=1.0"
google ai image generator,,7.53,27100,76,27100,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,8,7,,,,informational,0,UNKNOWN,"base=6.53 (T=5.07,BF=8,PF=7) boost=1.0"
ai sexting response generator online,,7.46,70,6,70,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,9,8,,,,navigational,0,UNKNOWN,"base=6.46 (T=3.40,BF=9,PF=8) boost=1.0"
ai sexting response generator free,,6.93,10,0,10,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,9,8,,,,informational,0,UNKNOWN,"base=5.93 (T=2.08,BF=9,PF=8) boost=1.0"
ai humanizer tool,,6.25,60500,49,60500,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,5,3,,,,informational,0,UNKNOWN,"base=5.25 (T=7.11,BF=5,PF=3) boost=1.0"
ai video generator free,,6.21,60500,51,60500,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,5,3,,,,transactional,0,UNKNOWN,"base=5.21 (T=7.01,BF=5,PF=3) boost=1.0"
free ai video generator,,6.08,74000,61,74000,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,5,3,,,,transactional,0,UNKNOWN,"base=5.08 (T=6.69,BF=5,PF=3) boost=1.0"
ai headshot generator,,5.88,22200,50,22200,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,5,3,,,,transactional,0,UNKNOWN,"base=4.88 (T=6.19,BF=5,PF=3) boost=1.0"
nsfw ai image generator discord bot,,5.8,0,0,0,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,9,7,,,,informational,0,UNKNOWN,"base=4.80 (T=0.00,BF=9,PF=7) boost=1.0"
image ai generator,,5.76,9900,42,9900,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,5,3,,,,transactional,0,UNKNOWN,"base=4.76 (T=5.89,BF=5,PF=3) boost=1.0"
ai shorts maker,,5.23,480,16,480,seed_modifier,seed_modifier,tool-led,PASS,UNKNOWN,DROP,5,3,,,,transactional,0,UNKNOWN,"base=4.23 (T=4.56,BF=5,PF=3) boost=1.0"
