rank,keyword,slug,priority_score,volume,kd,traffic_potential,source,gap_mode,serp_intent,bid_verdict,aio_verdict,redteam_verdict,brand_fit,product_fit,competitor_top_position,competitor_domains,parent_topic,intent,redteam_priority_delta,redteam_critique_summary,notes
1,dirty talking,dirty-talking,9.05,27100,0,27100,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,55,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.65 (T=8.87,BF=9,PF=8) boost=0.4"
2,ai sexting,ai-sexting,9.04,33100,4,33100,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,18,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.64 (T=8.84,BF=9,PF=8) boost=0.4"
3,sexting ai,sexting-ai,9.04,33100,4,33100,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,20,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.64 (T=8.84,BF=9,PF=8) boost=0.4"
4,ai girlfriend,ai-girlfriend,8.88,135000,31,135000,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,2,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.48 (T=8.45,BF=9,PF=8) boost=0.4"
5,sexting chat,sexting-chat,8.82,550000,34,550000,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,14,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.42 (T=8.30,BF=9,PF=8) boost=0.4"
6,sex chat,sex-chat,8.64,550000,43,550000,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,21,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.24 (T=7.85,BF=9,PF=8) boost=0.4"
7,ai boyfriend,ai-boyfriend,8.56,22200,21,22200,competitor_gap+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,9,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.16 (T=7.64,BF=9,PF=8) boost=0.4"
8,ai companion,ai-companion,8.53,18100,19,18100,competitor_gap+seed_modifier,missing,informational,PASS,RISKY,KEEP,9,8,40,nastia.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.13 (T=7.57,BF=9,PF=8) boost=0.4"
9,ai girlfriends,ai-girlfriends,8.43,18100,24,18100,competitor_gap,missing,informational,PASS,PASS,KEEP,9,8,4,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=8.03 (T=7.32,BF=9,PF=8) boost=0.4"
10,free ai girlfriend,free-ai-girlfriend,8.35,18100,28,18100,competitor_gap+question_mining+seed_modifier,missing,informational,PASS,PASS,KEEP,9,8,9,candy.ai,,informational,0,Deterministic DataForSEO migration run; manual adversarial review still required before article production.,"base=7.95 (T=7.12,BF=9,PF=8) boost=0.4"
